[x_ref,y_ref,yaw_ref]
11.1472,3.39709,-0.384605
11.1677,3.38876,-0.384605
11.1883,3.38043,-0.384605
11.2089,3.3721,-0.384605
11.2295,3.36377,-0.384605
11.2501,3.35544,-0.384605
11.2706,3.34711,-0.384605
11.2912,3.33878,-0.384605
11.3118,3.33045,-0.384605
11.3324,3.32212,-0.384605
11.3529,3.31379,-0.384605
11.3735,3.30547,-0.384605
11.3941,3.29714,-0.384605
11.4147,3.28881,-0.384605
11.4353,3.28048,-0.384605
11.4558,3.27215,-0.384605
11.4764,3.26382,-0.384605
11.497,3.25549,-0.384605
11.5176,3.24716,-0.384605
11.5381,3.23883,-0.384605
11.5587,3.2305,-0.384605
11.5793,3.22217,-0.384605
11.5999,3.21384,-0.384605
11.6205,3.20552,-0.384605
11.641,3.19719,-0.384605
11.6616,3.18886,-0.384605
11.6822,3.18053,-0.384605
11.7028,3.1722,-0.384605
11.7233,3.16387,-0.384605
11.7439,3.15554,-0.384605
11.7645,3.14721,-0.384605
11.7851,3.13888,-0.384605
11.8057,3.13055,-0.384605
11.8262,3.12222,-0.384605
11.8468,3.11389,-0.384605
11.8674,3.10556,-0.384605
11.888,3.09724,-0.384605
11.9085,3.08891,-0.384605
11.9291,3.08058,-0.384605
11.9497,3.07225,-0.384605
11.9703,3.06392,-0.384605
11.9909,3.05559,-0.384605
12.0114,3.04726,-0.384605
12.032,3.03893,-0.384605
12.0526,3.0306,-0.384605
12.0732,3.02227,-0.384605
12.0938,3.01394,-0.384605
12.1143,3.00561,-0.384605
12.1349,2.99729,-0.384605
12.1555,2.98896,-0.384605
12.1761,2.98063,-0.384605
12.1966,2.9723,-0.384605
12.2172,2.96397,-0.384605
12.2378,2.95564,-0.384605
12.2584,2.94731,-0.384605
12.279,2.93898,-0.384605
12.2995,2.93065,-0.384605
12.3201,2.92232,-0.384605
12.3407,2.91399,-0.384605
12.3613,2.90566,-0.384605
12.3818,2.89733,-0.384605
12.4024,2.88901,-0.384605
12.423,2.88068,-0.384605
12.4436,2.87235,-0.384605
12.4642,2.86402,-0.384605
12.4847,2.85569,-0.384605
12.5053,2.84736,-0.384605
12.5259,2.83903,-0.384605
12.5465,2.8307,-0.384605
12.567,2.82237,-0.384605
12.5876,2.81404,-0.384605
12.6082,2.80571,-0.384605
12.6288,2.79738,-0.384605
12.6494,2.78905,-0.384605
12.6699,2.78073,-0.384605
12.6905,2.7724,-0.384605
12.7111,2.76407,-0.384605
12.7317,2.75574,-0.384605
12.7522,2.74741,-0.384605
12.7728,2.73908,-0.384605
12.7934,2.73075,-0.384605
12.814,2.72242,-0.384605
12.8346,2.71409,-0.384605
12.8551,2.70576,-0.384605
12.8757,2.69743,-0.384605
12.8963,2.6891,-0.384605
12.9169,2.68078,-0.384605
12.9375,2.67245,-0.384605
12.958,2.66412,-0.384605
12.9786,2.65579,-0.384605
12.9992,2.64746,-0.384605
13.0198,2.63913,-0.384605
13.0403,2.6308,-0.384605
13.0609,2.62247,-0.384605
13.0815,2.61414,-0.384605
13.1021,2.60581,-0.384605
13.1227,2.59748,-0.384605
13.1432,2.58915,-0.384605
13.1638,2.58082,-0.384605
13.1844,2.5725,-0.384605
13.205,2.56417,-0.384605
13.2255,2.55584,-0.384605
13.2461,2.54751,-0.384605
13.2667,2.53918,-0.384605
13.2873,2.53085,-0.384605
13.3079,2.52252,-0.384605
13.3284,2.51419,-0.384605
13.349,2.50586,-0.384605
13.3696,2.49753,-0.384605
13.3902,2.4892,-0.384605
13.4107,2.48087,-0.384605
13.4313,2.47255,-0.384605
13.4519,2.46422,-0.384605
13.4725,2.45589,-0.384605
13.4931,2.44756,-0.384605
13.5136,2.43923,-0.384605
13.5342,2.4309,-0.384605
13.5548,2.42257,-0.384605
13.5754,2.41424,-0.384605
13.5959,2.40591,-0.384605
13.6165,2.39758,-0.384605
13.6371,2.38925,-0.384605
13.6577,2.38092,-0.384605
13.6783,2.37259,-0.384605
13.6988,2.36427,-0.384605
13.7194,2.35594,-0.384605
13.74,2.34761,-0.384605
13.7606,2.33928,-0.384605
13.7811,2.33095,-0.384605
13.8017,2.32262,-0.384605
13.8223,2.31429,-0.384605
13.8429,2.30596,-0.384605
13.8635,2.29763,-0.384605
13.884,2.2893,-0.384605
13.9046,2.28097,-0.384605
13.9252,2.27264,-0.384605
13.9458,2.26432,-0.384605
13.9664,2.25599,-0.384605
13.9869,2.24766,-0.384605
14.0075,2.23933,-0.384605
14.0281,2.231,-0.384605
14.0487,2.22267,-0.384605
14.0692,2.21434,-0.384605
14.0898,2.20601,-0.384605
14.1104,2.19768,-0.384605
14.131,2.18935,-0.384605
14.1516,2.18102,-0.384605
14.1721,2.17269,-0.384605
14.1927,2.16436,-0.384605
14.2133,2.15604,-0.384605
14.2339,2.14771,-0.384605
14.2544,2.13938,-0.384605
14.275,2.13105,-0.384605
14.2956,2.12272,-0.384605
14.3162,2.11439,-0.384605
14.3368,2.10606,-0.384605
14.3573,2.09773,-0.384605
14.3779,2.0894,-0.384605
14.3985,2.08107,-0.384605
14.4191,2.07274,-0.384605
14.4396,2.06441,-0.384605
14.4602,2.05609,-0.384605
14.4808,2.04776,-0.384605
14.5014,2.03943,-0.384605
14.522,2.0311,-0.384605
14.5425,2.02277,-0.384605
14.5631,2.01444,-0.384605
14.5837,2.00611,-0.384605
14.6043,1.99778,-0.384605
14.6248,1.98945,-0.384605
14.6454,1.98112,-0.384605
14.666,1.97279,-0.384605
14.6866,1.96446,-0.384605
14.7072,1.95613,-0.384605
14.7277,1.94781,-0.384605
14.7483,1.93948,-0.384605
14.7689,1.93115,-0.384605
14.7895,1.92282,-0.384605
14.81,1.91449,-0.384605
14.8306,1.90616,-0.384605
14.8512,1.89783,-0.384605
14.8718,1.8895,-0.384605
14.8924,1.88117,-0.384605
14.9129,1.87284,-0.384605
14.9335,1.86451,-0.384605
14.9541,1.85618,-0.384605
14.9747,1.84786,-0.384605
14.9953,1.83953,-0.384605
15.0158,1.8312,0
15.0158,1.8312,-1.43647
15.0195,1.804,-1.43647
15.0232,1.77681,-1.43647
15.0269,1.74962,-1.43647
15.0305,1.72243,-1.43647
15.0342,1.69523,-1.43647
15.0379,1.66804,-1.43647
15.0416,1.64085,-1.43647
15.0452,1.61366,-1.43647
15.0489,1.58647,-1.43647
15.0526,1.55927,-1.43647
15.0563,1.53208,-1.43647
15.0599,1.50489,-1.43647
15.0636,1.4777,-1.43647
15.0673,1.4505,-1.43647
15.0709,1.42331,-1.43647
15.0746,1.39612,-1.43647
15.0783,1.36893,-1.43647
15.082,1.34173,-1.43647
15.0856,1.31454,-1.43647
15.0893,1.28735,-1.43647
15.093,1.26016,-1.43647
15.0967,1.23296,-1.43647
15.1003,1.20577,-1.43647
15.104,1.17858,-1.43647
15.1077,1.15139,-1.43647
15.1114,1.12419,-1.43647
15.115,1.097,-1.43647
15.1187,1.06981,-1.43647
15.1224,1.04262,-1.43647
15.1261,1.01543,-1.43647
15.1297,0.988233,-1.43647
15.1334,0.961041,-1.43647
15.1371,0.933848,-1.43647
15.1408,0.906656,-1.43647
15.1444,0.879463,-1.43647
15.1481,0.852271,-1.43647
15.1518,0.825079,-1.43647
15.1555,0.797886,-1.43647
15.1591,0.770694,-1.43647
15.1628,0.743501,-1.43647
15.1665,0.716309,-1.43647
15.1702,0.689117,-1.43647
15.1738,0.661924,-1.43647
15.1775,0.634732,-1.43647
15.1812,0.60754,-1.43647
15.1849,0.580347,-1.43647
15.1885,0.553155,-1.43647
15.1922,0.525962,-1.43647
15.1959,0.49877,-1.43647
15.1996,0.471578,-1.43647
15.2032,0.444385,-1.43647
15.2069,0.417193,-1.43647
15.2106,0.390001,-1.43647
15.2143,0.362808,-1.43647
15.2179,0.335616,-1.43647
15.2216,0.308423,-1.43647
15.2253,0.281231,-1.43647
15.229,0.254039,-1.43647
15.2326,0.226846,-1.43647
15.2363,0.199654,-1.43647
15.24,0.172461,-1.43647
15.2437,0.145269,-1.43647
15.2473,0.118077,-1.43647
15.251,0.0908843,-1.43647
15.2547,0.063692,-1.43647
15.2584,0.0364996,-1.43647
15.262,0.00930721,-1.43647
15.2657,-0.0178852,-1.43647
15.2694,-0.0450776,-1.43647
15.2731,-0.0722699,-1.43647
15.2767,-0.0994623,-1.43647
15.2804,-0.126655,-1.43647
15.2841,-0.153847,-1.43647
15.2878,-0.181039,-1.43647
15.2914,-0.208232,-1.43647
15.2951,-0.235424,-1.43647
15.2988,-0.262617,-1.43647
15.3025,-0.289809,-1.43647
15.3061,-0.317001,-1.43647
15.3098,-0.344194,-1.43647
15.3135,-0.371386,-1.43647
15.3172,-0.398578,-1.43647
15.3208,-0.425771,-1.43647
15.3245,-0.452963,-1.43647
15.3282,-0.480156,-1.43647
15.3318,-0.507348,-1.43647
15.3355,-0.53454,-1.43647
15.3392,-0.561733,-1.43647
15.3429,-0.588925,-1.43647
15.3465,-0.616118,-1.43647
15.3502,-0.64331,-1.43647
15.3539,-0.670502,-1.43647
15.3576,-0.697695,-1.43647
15.3612,-0.724887,-1.43647
15.3649,-0.752079,-1.43647
15.3686,-0.779272,-1.43647
15.3723,-0.806464,-1.43647
15.3759,-0.833657,-1.43647
15.3796,-0.860849,-1.43647
15.3833,-0.888041,-1.43647
15.387,-0.915234,-1.43647
15.3906,-0.942426,-1.43647
15.3943,-0.969618,-1.43647
15.398,-0.996811,-1.43647
15.4017,-1.024,-1.43647
15.4053,-1.0512,-1.43647
15.409,-1.07839,-1.43647
15.4127,-1.10558,-1.43647
15.4164,-1.13277,-1.43647
15.42,-1.15997,-1.43647
15.4237,-1.18716,-1.43647
15.4274,-1.21435,-1.43647
15.4311,-1.24154,-1.43647
15.4347,-1.26873,-1.43647
15.4384,-1.29593,-1.43647
15.4421,-1.32312,-1.43647
15.4458,-1.35031,-1.43647
15.4494,-1.3775,-1.43647
15.4531,-1.4047,-1.43647
15.4568,-1.43189,-1.43647
15.4605,-1.45908,-1.43647
15.4641,-1.48627,-1.43647
15.4678,-1.51347,-1.43647
15.4715,-1.54066,-1.43647
15.4752,-1.56785,-1.43647
15.4788,-1.59504,-1.43647
15.4825,-1.62224,-1.43647
15.4862,-1.64943,-1.43647
15.4899,-1.67662,-1.43647
15.4935,-1.70381,-1.43647
15.4972,-1.73101,-1.43647
15.5009,-1.7582,-1.43647
15.5046,-1.78539,-1.43647
15.5082,-1.81258,-1.43647
15.5119,-1.83977,-1.43647
15.5156,-1.86697,-1.43647
15.5193,-1.89416,-1.43647
15.5229,-1.92135,-1.43647
15.5266,-1.94854,-1.43647
15.5303,-1.97574,-1.43647
15.534,-2.00293,-1.43647
15.5376,-2.03012,-1.43647
15.5413,-2.05731,-1.43647
15.545,-2.08451,-1.43647
15.5487,-2.1117,-1.43647
15.5523,-2.13889,-1.43647
15.556,-2.16608,-1.43647
15.5597,-2.19328,-1.43647
15.5634,-2.22047,-1.43647
15.567,-2.24766,-1.43647
15.5707,-2.27485,-1.43647
15.5744,-2.30205,-1.43647
15.5781,-2.32924,-1.43647
15.5817,-2.35643,-1.43647
15.5854,-2.38362,-1.43647
15.5891,-2.41081,-1.43647
15.5928,-2.43801,-1.43647
15.5964,-2.4652,-1.43647
15.6001,-2.49239,-1.43647
15.6038,-2.51958,-1.43647
15.6074,-2.54678,-1.43647
15.6111,-2.57397,-1.43647
15.6148,-2.60116,-1.43647
15.6185,-2.62835,-1.43647
15.6221,-2.65555,-1.43647
15.6258,-2.68274,-1.43647
15.6295,-2.70993,-1.43647
15.6332,-2.73712,-1.43647
15.6368,-2.76432,-1.43647
15.6405,-2.79151,-1.43647
15.6442,-2.8187,-1.43647
15.6479,-2.84589,-1.43647
15.6515,-2.87309,-1.43647
15.6552,-2.90028,-1.43647
15.6589,-2.92747,-1.43647
15.6626,-2.95466,-1.43647
15.6662,-2.98185,-1.43647
15.6699,-3.00905,-1.43647
15.6736,-3.03624,-1.43647
15.6773,-3.06343,-1.43647
15.6809,-3.09062,-1.43647
15.6846,-3.11782,-1.43647
15.6883,-3.14501,-1.43647
15.692,-3.1722,-1.43647
15.6956,-3.19939,-1.43647
